{004df4c6-6fee-4fc5-a108-f414713a71e5} event:/Nested Event
{007817b9-722a-44c8-8e14-cc66233ce495} event:/game/07_summit/altitude_count
{0e6af11e-69f3-4a92-b762-7421c912c3d6} event:/ui/main/whoosh_list_in
{0ef75714-36af-4845-bd24-72028d9c1efb} event:/new_content/game/10_farewell/glider_platform_dissipate
{0f15b7da-7808-4c29-8bb8-382c1ec6e407} event:/new_content/char/tutorial_ghost/jump_super
{0fa79a65-c103-4f72-84d6-7a22c9b2f43c} event:/env/amb/00_prologue
{1045766a-a6af-49c5-b7c2-0835dc498941} event:/track
{10deb10e-5387-4e38-8ce5-aa83feaa5cf7} event:/music/remix/09_core
{10fb65c0-0d36-442a-9bae-7b95a8502c8f} event:/rara_3
{10ff4e08-9448-49ae-8092-d402bb128538} event:/game/general/crystalheart_gold_get
{11062cdc-badd-4bd5-96b2-f47463ddd9b2} event:/music/lvl2/beginning
{111996f6-8bae-408f-86d1-0aeae8203f4b} event:/game/general/cassette_get
{115ebebd-cb97-4ba1-bc55-5f6dac63a699} event:/game/06_reflection/crushblock_rest_waypoint
{117d38ce-6174-491e-9564-107d17a7b187} event:/music/cassette/05_mirror_temple
{11bddfee-df7f-41b8-84a0-8fbe19a1ba30} event:/game/03_resort/fluff_tendril_touch
{11d1dbbf-e142-4374-b45b-e849d31b7d6d} event:/fire2
{1210af0a-7e91-40af-a33c-d3fd2601ae54} event:/ui/main/postcard_ch2_in
{1220c5e3-9e68-4e3f-9731-37f8efeca4d5} event:/classic/!!!_README
{129e7dc8-fe0f-4da8-8d18-cca460443d01} event:/rara_3
{12e8935e-368b-4d52-b0c9-95739b264394} event:/farewell_loop
{12eebf33-5c32-46f2-b988-00fdffb83b6d} event:/game/09_core/frontdoor_unlock
{12f81211-c72f-44f7-951c-4884bea99668} event:/ui/game/memorial_text_loop
{131dc336-4229-44d3-873f-e435fb501faf} event:/ui/postgame/death_appear
{13bc6abf-e993-4692-bef7-b3c551a15efb} event:/track
{142ae054-bc66-4b91-8c25-eff2ee9e4f05} event:/game/03_resort/memo_in
{14563914-60ff-43cc-bc2e-d5766cc30964} event:/ui/world_map/icon/roll_right
{14d172d5-a942-49b6-a27f-511dc545edb1} event:/track
{14d582cb-0c50-4837-bcc5-e7e03ff23687} event:/char/madeline/revive
{14db4278-02a9-4513-9361-0e53d9da8811} event:/classic/sfx35
{14db73f4-6a9b-494a-b1b6-1e82763b508e} event:/new_content/char/tutorial_ghost/disappear
{15e11635-109d-417e-8424-2821f91f8020} event:/ui/main/savefile_rollover_up
{15e5f600-cad4-4627-897b-719fb6b6061b} event:/03_eye_step2
{16a8585c-e163-4594-bbeb-5bb2977f947f} event:/music/lvl3/oshiro_chase
{16aaecdf-ca62-4273-9bff-7900f3d92a4b} event:/music/remix/07_summit
{16b40879-0a79-4e42-8c91-fe419a8e186c} event:/char/badeline/disappear
{16e427ac-9d10-41be-bf29-b0abbbfbb606} event:/rara_4
{17373622-2d11-491e-83e8-13ecc0eeb13a} event:/1up
{17976556-1fbe-42a2-96ba-7fdf38a0f641} event:/03_melody
{17a8ef3e-78e8-430c-9cf4-995a121ef1fe} event:/new_content/game/10_farewell/pico8_flag
{17f3d1a6-8ee5-4531-af4d-70a1cb06b4b0} event:/track
{1841d8c6-d1af-4319-9926-9ed41e4a8d85} event:/music/lvl6/secret_room
{1876eced-526c-4824-906a-9a6df5d2c011} event:/rara_4
{18d43034-5c0f-4341-abbb-27ba662dfc99} event:/1000
{1974a7a0-2458-4290-b137-48394dfc5629} event:/buzz_loop
{19ecfec2-e1a0-4335-862f-eaa1d9e679fd} event:/game/03_resort/suite_bad_exittop
{1a114663-4b93-4aab-ba8c-ca8793f2831e} event:/char/badeline/stand
{1a51e71c-fbf7-4f0c-b659-622ada05f17c} event:/env/local/waterfall_big_main
{1a61f131-f0fd-4065-a0b7-96077a1d578c} event:/red_berry
{1a62e6d5-c2d5-45c7-8d15-ae1352a8b1a4} event:/game/03_resort/door_metal_open
{1a77f0d4-81d8-4f97-bdf1-8e1e39cc69ef} event:/char/madeline/jump_climb_right
{1a7858a9-96f8-426a-a06f-0c2750e43f85} event:/game/general/spotlight_intro
{1acb8e84-5f79-4dcd-86aa-e8a514535b7d} event:/game/general/crystalheart_blue_get
{1af3da54-a900-4929-acdf-5098a27c4d8e} event:/music/lvl1/main
{1b02729d-bb1d-4366-94fb-a5683edbfa38} event:/game/05_mirror_temple/swapblock_move
{1b030b2e-c125-40d5-b582-5819c6c29584} event:/ui/game/chatoptions_roll_up
{1b5af286-b8ce-444a-8f9b-03bc5fb66166} event:/music/lvl5/mirror_cutscene
{1c2d9b78-9172-44db-a205-15b3cd91191e} event:/ui/main/bside_intro_text
{1c2db8f7-e816-4ebc-b825-0fd27357291e} event:/game/04_cliffside/snowball_spawn
{1c75f1cf-5825-42f1-b57f-5b5a5cefdedd} event:/new_content/game/10_farewell/locked_door_appear_5
{1cc5e3b3-4078-4728-9405-a5ab3ac94759} event:/new_content/char/granny/dissipate
{1d287260-a29e-4d56-962b-3e9a79e10877} event:/Nested Event
{1d8f0733-f7c7-4af1-947d-da16faaa673a} event:/music/remix/02_old_site
{1da40d8f-f7d3-425c-9f34-37684fda4aa4} event:/game/02_old_site/sequence_phone_ring_loop
{1dcab983-1430-4a12-9676-552ce5411477} event:/track
{1e0b2330-39fd-4d76-9a3e-41f6ca7ca110} event:/fire1
{1e2b2837-21b6-4173-b875-90111b269c9c} event:/track
{1e303df8-ca93-4c8a-83a4-671e311469b0} event:/game/05_mirror_temple/crystaltheo_break_free
{1e7997d7-a551-479e-90d3-f6929fd665ef} event:/game/03_resort/forcefield_bump
{1e954e19-cc47-449c-b2c7-78195ab67c38} event:/intro_into_loop
{1eb80e39-81b3-45ec-a5c7-285e31d92245} event:/game/02_old_site/theoselfie_photo_in
{1ebd2b11-e6c4-4cc8-bb94-523470bda7b6} event:/ui/postgame/death_final
{1ed8d7f1-ef06-4db9-98d2-4f2ea3b46e7b} event:/game/05_mirror_temple/redbooster_enter
{1f3219da-b169-4fb7-8206-afdf81f65baa} event:/bullet_charge_4
{1f43075b-c346-4a3d-a81d-b2a2fa18b281} event:/game/03_resort/trapdoor_frombottom
{1fa22a63-3a16-4a45-9c6d-ed4caac7c6c9} event:/intro
{1fcdc031-011d-47aa-be54-ffd0aab2c008} event:/blublublub_2
{207a212a-2beb-4022-a8da-11ac987d3097} event:/char/badeline/booster_reappear
{20819c4b-843b-46f2-8c05-8e062e76681d} event:/game/01_forsaken_city/console_red
{2099c483-cac4-4eca-b8bf-189b15e35556} event:/5000
{2133d394-da16-49a5-82d2-59dfabecf762} event:/new_content/ui/postcard_variants_in
{214e17a6-b3af-451f-a29f-a08351abe64d} event:/game/01_forsaken_city/console_static_short
{21a98c43-8e79-4b8a-8963-a269735f3989} event:/ui/world_map/whoosh/900ms_forward
{21c14b80-cb2e-4f2e-8d1e-b8f3941b162c} event:/classic/sfx3
{21cc70d3-7469-431e-b31d-63844d7005c5} event:/game/06_reflection/hug_image_3
{21db4b0c-6524-4545-8266-c6ea1bf032ef} event:/game/06_reflection/pinballbumper_hit
{229ab2af-aaaf-4464-9d99-574e73d57120} event:/rara_2
{22a41a42-5e6f-4185-85d4-b5d1a8c38d4d} event:/game/05_mirror_temple/eyewall_bounce
{2336b17f-5769-4e2e-a636-aee1ddef9086} event:/char/badeline/jump_superwall
{24197259-c364-40a3-b155-f4ba57503891} event:/game/02_old_site/theoselfie_photo_filter
{2452bb12-5d79-4849-b62b-17cc06744679} event:/game/general/strawberry_blue_pulse
{24844c62-b116-4d87-b944-e748e897bd28} event:/game/04_cliffside/cloud_pink_boost
{251c3dfb-0cab-4ef7-bb2c-2b0f8aa56537} event:/game/06_reflection/crushblock_rest
{2528db19-731b-488f-9fd4-f25f9db32090} event:/3000
{25294859-6bfd-434e-9528-8433245fe3b5} event:/char/badeline/level_entry
{25759b99-ad2a-4483-bb7e-0c4eac782c53} event:/char/madeline/jump_special
{2592d638-f3c5-4f6f-81e0-888a04affa40} event:/char/badeline/booster_throw
{25b9da01-65f7-4692-a794-74ed1849d05c} event:/01_eye_main
{25e6e3fa-ff02-440e-ac63-c83c3ad1efaf} event:/ui/world_map/whoosh/400ms_back
{2626645e-6392-4963-8361-4dccfa511758} event:/game/general/seed_complete_berry
{26391bcd-7613-49ad-a9bd-529f7bcaeb29} event:/game/general/seed_complete_main
{26999d37-f12e-4b55-b82e-c26c02fcb288} event:/ui/postgame/death_count
{2708f97c-8a18-4c6b-9bd7-1abf90dac0f6} event:/game/general/birdbaby_tweet_loop
{2718ffac-db8e-4f95-b54e-253134bd48a5} event:/game/09_core/hotpinball_activate
{2760b17a-48e8-4008-8fdc-c5180c7e7516} event:/new_content/game/10_farewell/cafe_computer_on_old
{27c68b11-4893-406e-8a68-2c7cf6a7ae0d} event:/ui/game/memorial_text_in
{2823a745-a4bf-428a-9c9f-01d36d543f63} event:/game/09_core/pinballbumper_hit
{28afe636-0afc-4a73-957d-fa53f6295250} event:/char/oshiro/boss_reform
{28caabf1-2b9d-480e-bcc2-5947a2398087} event:/new_content/game/10_farewell/quake_rockbreak
{29087f52-9fc1-4874-b3f1-2393d7bc1b53} event:/intro_cymbal
{294d9147-9177-42ba-9bd8-04defb79a6a6} event:/music/lvl1/theo
{2985ee63-eec3-4263-bf6d-71e332bfa805} event:/char/oshiro/chat_get_up
{29904477-ac10-4b8d-8858-0ac06df88d02} event:/music/lvl6/main
{29ffaa1c-75e8-43e8-9002-54bc40193f8b} event:/game/04_cliffside/cloud_blue_boost
{2b2852bd-7b5e-4c42-a05d-31b667dfc577} event:/game/03_resort/suite_bad_mirrorbreak
{2b2b58c7-88e0-4575-aaa5-fbf276beddcf} event:/game/05_mirror_temple/gate_theo_open
{2b6c4db0-c9c8-4be7-8835-b4866bc1e4f5} event:/game/general/lookout_move
{2bb2c164-719e-4ead-8dbd-f6943e93ec31} event:/new_content/game/10_farewell/bird_crashscene_recover
{2bc690b2-830d-4fee-9960-5e9c158a07c1} event:/ui/world_map/chapter/pane_contract
{2bf6eb6d-2bbb-4bbf-bf76-1f37fd8b6098} event:/game/05_mirror_temple/torch_activate
{2c58d235-d6db-4974-825f-426ec121fe23} event:/game/02_old_site/sequence_phone_ringtone_loop
{2cb60501-99e8-45ab-9990-b21d68937ce5} event:/track
{2cc437e8-70f0-48b0-ac2a-0dc93ee06b87} event:/game/05_mirror_temple/key_unlock_dark
{2d16d1b8-f6c7-472d-879f-c583537302d7} event:/music/lvl5/seeker_drums_layer
{2dca99b6-dcf5-40e6-8cd1-c72f97d364cd} event:/ui/world_map/whoosh/900ms_back
{2e4105eb-0489-4a3b-8466-b356d06a7f8c} event:/new_content/char/tutorial_ghost/dash_red_right
{2e69b6a7-2ab5-4a35-a307-27a52fdf7458} event:/env/amb/09_main
{2e990fd4-2c29-4527-8968-e47ff4006e81} event:/ui/world_map/journal/page_cover_forward
{2f7381e9-7264-4df3-8cff-84cc46b2d3d9} event:/new_content/game/10_farewell/puffer_shrink
{2f7720df-0469-4607-8e5a-74baa11ebff4} event:/slow_loop
{302bac49-c68b-4555-8b39-a28b27a917e1} event:/06_eye_pulse
{3052bb3d-8343-4d09-bf59-d525735f4407} event:/env/local/03_resort/broken_window_small
{3070bcdd-928f-4ffb-ba75-d43dbb2c2864} event:/game/general/key_get
{30778a44-5e97-4770-9449-378f3b4025ef} event:/note_transitions
{309df40a-ed6b-46cc-b6a0-b1ddf5814ac8} event:/ui/world_map/whoosh/1000ms_back
{30c6c5c3-bf5d-4cbe-b3ea-3ed4c1e2396e} event:/char/theo/resort_crawl
{30fafd37-cd47-4a56-ab3b-0cc8f1beec5b} event:/game/general/touchswitch_any
{3147835f-3002-4097-bc14-53c456a8501f} event:/game/05_mirror_temple/seeker_dash
{315ac151-5eb6-4e6b-b1b7-0531f3572c44} event:/char/madeline/crystaltheo_lift
{3164e6e3-a335-4821-bbed-eb598dcae9ce} event:/game/04_cliffside/arrowblock_activate
{319ecd12-335d-44ff-94ca-07fe499d4a87} event:/game/00_prologue/car_down
{31a7988d-80bf-40ee-84f0-644a17abe6cc} event:/music/lvl3/explore
{31ab9dad-3216-4652-96d7-58b4890e53ea} event:/06_eye_pulse
{3205ef07-2727-448b-8ca2-286e3f87bd64} event:/4000
{324223a1-46c3-437e-9069-ed5059b47b95} event:/new_content/game/10_farewell/key_unlock_4
{329fd34b-cca4-4d8c-a07e-fdf8be436e38} event:/game/general/wall_break_dirt
{3300a39c-727d-4900-b151-cd9e7c589527} event:/track
{33a10afa-41bd-4534-8222-17e7947e9517} event:/new_content/game/10_farewell/ppt_wavedash_whoosh
{33b3f90f-9164-4e44-9fcc-a85d808f8e8e} event:/blublublub_3
{33df1e8a-7605-4b2d-8235-ee78fbaa8c55} event:/char/badeline/climb_ledge
{340b78d5-3798-4f4a-b066-fb7636c1cd6b} event:/Nested Event
{3421556b-2c35-4661-975d-86aa070e395e} event:/track
{344f404d-a5da-496a-916a-6159041ac31c} event:/4000
{34751b86-7136-491f-b281-4acfc5abc130} event:/game/06_reflection/scaryhair_move
{3482e653-439f-46cc-8cbd-02abf456b0e4} event:/new_content/music/lvl10/cinematic/end
{34b7b551-b160-419b-8533-5e2b71f60afa} event:/submerged_return
{35472fac-2f05-4eb5-8281-d929b5ce41bb} event:/new_content/game/10_farewell/ppt_happy_wavedashing
{355e716c-e169-4114-a223-a4e3156d23cf} event:/new_content/game/10_farewell/puffer_reform
{35abfea4-7b3b-489d-bcd8-431b93b87fa4} event:/game/05_mirror_temple/mainmirror_torch_lit_2
{362e549d-25f0-4a5b-9c83-796e9ed389db} event:/ui/world_map/whoosh/600ms_back
{36604f79-14aa-4a46-a7b3-42a15fc7fbc1} event:/game/05_mirror_temple/mainmirror_torch_loop
{3664dabe-a058-4d2d-a7c6-b216239014dd} event:/cinematic_loop
{36b91db4-ad22-4c8d-aa83-7964f95398ab} event:/env/amb/05_interior_main
{3795b486-390b-46cc-97f9-dced1a83453b} event:/game/general/debris_stone
{38079a52-37cc-421f-a9d1-2b0f0222e779} event:/ui/game/textbox_madeline_in
{38215515-d671-4635-a2ff-9b6749619301} event:/game/06_reflection/feather_renew
{38557af4-adf9-4328-9f2c-167b12ff9f8e} event:/char/badeline/maddy_join
{388260ad-8996-4220-a041-4165704072d4} event:/game/00_prologue/fallblock_first_shake
{38993101-6a7d-4344-bb63-69face96fd3a} event:/ui/main/whoosh_savefile_out
{38e2f39c-382d-4136-86fd-e24520f3b71e} event:/music/lvl9/main
{38e9f295-6400-41e8-b574-9a1e8c908622} event:/game/general/secret_revealed
{391d10bd-1577-4ae2-8370-04e1bd3f0fc5} event:/game/general/bird_peck
{3988aed8-0d51-4226-8ebb-89a25c823c78} event:/game/09_core/iceball_break
{39bc7530-4ca0-437a-bdc7-7ac76e13b088} event:/intro_into_loop
{39c3eab6-ef3e-4ffb-8653-b0345fc67e20} event:/game/05_mirror_temple/room_lightlevel_down
{39c755bc-96f7-4fe8-89b6-0b1a93a61881} event:/game/04_cliffside/cloud_pink_reappear
{39d1b901-ceda-4c9b-aacb-9199cd38f220} event:/intro_cymbal
{39d2f266-213d-4bd9-92de-2fb73e2a10b4} event:/rara_2
{39d897e4-72be-4104-8dde-a44bab99d03d} event:/template
{3a28d465-3e86-4e3c-8ffd-5e5ba8449c95} event:/game/06_reflection/badeline_freakout_4
{3aded16d-06f6-4a37-aa4c-91bd91ee290a} event:/game/06_reflection/hug_image_1
{3b128250-55a7-4a1b-8d8e-edf325d80192} event:/char/madeline/jump_wall_right
{3b142d62-975a-41a3-9b59-8e5ba4f6cbdb} event:/char/badeline/dreamblock_exit
{3b218b08-138f-48ab-9e13-00d093114e40} event:/game/06_reflection/badeline_freakout_3
{3b45b8d4-ff15-4d36-9411-3e4ce2726377} event:/game/general/strawberry_get
{3b5ed272-8e51-4490-8834-84263d1c9f15} event:/multi_template
{3b6c0f9a-9399-4af4-8443-d1bf6544869a} event:/ui/game/textbox_other_out
{3b78bc43-6a40-4930-9373-7ac0aecb7750} event:/rara_8
{3b90c629-7dcf-467b-a438-75e3287c8ae5} event:/char/madeline/water_out
{3b9e48f1-e72d-46a6-909b-4ce5044c4253} event:/game/general/strawberry_flyaway
{3ba4d58b-d983-47a4-904e-6c6b6a18c835} event:/3000
{3cafbad4-ca29-4798-815a-ada3a887ffd3} event:/game/06_reflection/feather_get
{3d116858-7da6-4838-a3bc-5e1f1fb73fd4} event:/game/06_reflection/badeline_feather_slice
{3d4ee73d-0198-43a2-b1d4-7b98cb16944b} event:/char/theo/resort_vent_tug
{3da7184b-3e61-4c77-8530-b0c7882d613f} event:/blublublub_2
{3e111712-ffe7-404b-8dfe-08b630014170} event:/char/theo/yolo_fist
{3e4da5d7-22bc-4a2a-975f-962d0b13ea30} event:/classic/sfx1
{3e5b18db-8f99-4ab7-ad08-8529fd257b6b} event:/char/badeline/jump_wall_right
{3e6f0df6-6fe4-47de-b2c0-d08bcfa21319} event:/game/06_reflection/supersecret_torch_1
{3ec0a31a-f6af-4426-aaa1-db57098dbd39} event:/game/05_mirror_temple/gate_main_open
{3f2d088f-f438-42c1-b9e9-6e6a44203865} event:/game/00_prologue/bridge_rumble_loop
{3f2d120c-8b3f-4adf-b110-42388e8c5674} event:/new_content/music/lvl10/cinematic/bird_crash_first
{3f531057-7752-4e5a-a782-82ad7428ac70} event:/ui/game/hotspot_note_out
{3f5688b2-c4c2-4ed9-abff-d8ef0d617ab1} event:/4000
{3f6dc969-2f5c-4324-9cef-fc0119536f80} event:/game/05_mirror_temple/crackedwall_vanish
{3f8d0871-07ac-49dd-b7c2-893043eaaf83} event:/new_content/env/10_grannyclouds
{3fd21d57-8fb5-4107-8d03-2048428bc2fc} event:/ui/main/assist_info_whistle
{4016ea56-842c-4649-99c4-7057db18c835} event:/char/madeline/water_in
{4071aef2-1c21-4095-9fe9-500c007d3dcd} event:/game/04_cliffside/gondola_scaryhair_01
{409883b0-271d-4b20-9f0b-2d24e2f3c328} event:/env/amb/02_dream
{40c88bb1-a035-4e54-90e1-fc879d1bf42b} event:/ui/world_map/chapter/checkpoint_photo_remove
{416d5500-d42a-4981-baa8-83381cbbce3f} event:/music/lvl3/oshiro_theme
{41abdcf4-3c94-42cd-88ef-be5894191cae} event:/fire1
{421fe5d0-9d4b-40a5-ab8e-23b1ec4bf1b3} event:/char/madeline/idle_crackknuckles
{4224a810-5002-4ee7-bbff-1cfc753d4f46} event:/main_loop
{42391107-238a-462d-bc73-dc497e89eab0} event:/01_eye_main
{426469e9-5e87-46e9-8b9d-bc2ae055c7b7} event:/ui/postgame/strawberry_count
{427b4b7d-22a7-4295-9f47-931b594b4daa} event:/new_content/music/lvl10/final_run
{4286af39-b45f-42e6-887d-f8515180d3f8} event:/game/general/cassette_block_switch_2
{42d3ce68-8863-487c-bc3c-a1f74bd85911} event:/music/lvl6/badeline_fight
{42d600c5-32c3-4433-8a1e-be394b30bcde} event:/new_content/game/10_farewell/glitch_short
{4316d3ba-709e-4fc5-8e8c-0279daf4659e} event:/new_content/char/badeline/booster_relocate_slow
{4326d159-bff7-4b43-9df6-8123b9c31312} event:/track
{43420008-de4c-4d1c-8f4b-15c4871e4354} event:/new_content/game/10_farewell/ppt_doubleclick
{435249ff-4293-4369-8652-5d2f314551c5} event:/music/lvl7/final_ascent
{439c8be0-4350-4504-9df9-173abc3e15bb} event:/game/05_mirror_temple/seeker_statue_break
{439ca81d-63e1-4c59-a30a-e398985c706f} event:/rara_1
{43e8179d-915e-44f0-8938-a022594935a3} event:/rara_6
{441f8a0a-8783-4894-b45c-815c95877931} event:/game/06_reflection/fallblock_boss_impact
{443b630c-e94c-4aba-ad10-4cc7468d49cb} event:/music/lvl7/main
{445a96f2-982e-49d4-895a-19889e614955} event:/new_content/game/10_farewell/ppt_spinning_transition
{446248e4-70a0-427c-affe-8849644bb88b} event:/1000
{447f67ef-0777-4a7a-94e2-c00300316d10} event:/new_content/game/10_farewell/bird_camera_pan_up
{44a2d3fc-e727-4ed4-8907-535d11f81e3e} event:/ui/postgame/goldberry_count
{44a55198-a0bd-4e72-baba-5654142dccef} event:/ui/game/increment_dashcount
{44bca2af-3144-4dcc-9043-5dcda00caf8e} event:/Nested Event
{44e7e56e-3d7c-48e4-a1ae-a01de2685a81} event:/ui/main/rename_entry_space
{44ed360f-e714-4a3a-99e8-3aed8ecf22cb} event:/game/02_old_site/sequence_badeline_intro
{450fb5b3-e9e3-45d8-9f34-ba05e292958f} event:/char/badeline/maddy_split
{4518ae95-ba77-4242-b617-6c18d2f4f570} event:/game/03_resort/clutterswitch_squish
{4525fa59-c11e-4863-843f-3783571b11cf} event:/new_content/env/local/kevinpc
{457fdcf2-f81a-4b03-a669-e1193355a7c2} event:/game/03_resort/platform_vert_end
{45b9d18d-7871-4c32-93af-521b3bd55483} event:/game/06_reflection/badeline_freakout_2
{45cba62a-4146-4fdb-8b39-643e9ab1782c} event:/game/00_prologue/car_up
{464d1185-b4c6-4ab8-b570-ed2a92c3aade} event:/music/cassette/07_summit
{466271ba-3e10-4943-ba99-0bd63ade7636} event:/music/lvl6/badeline_acoustic
{4684b7e3-ac7e-40c0-a242-822dbd84326e} event:/ui/game/hotspot_main_out
{468d3c98-0643-43eb-aedc-4cd3775a745c} event:/ui/main/postcard_ch3_out
{46be7460-b04f-4f8c-9288-4b0ac962eb08} event:/cane_tap_02
{474ccf9f-bad7-48e2-b7c6-df307b74e4a5} event:/music/lvl0/bridge
{477a28ea-70e0-4085-8053-d3bf776aedc2} event:/game/03_resort/fluff_tendril_recede
{477f6667-1b22-4276-a0cf-1370ae099d9e} event:/game/00_prologue/intro_vignette
{479dda0f-e99f-478b-96c0-6367cf06cab2} event:/game/general/touchswitch_last_oneshot
{47bc2416-fd95-4a75-8952-7c43757e0e66} event:/char/madeline/dreamblock_travel
{47fd0794-5e4c-4b8d-bd3d-1a195350cc48} event:/intensity_4
{4819c63c-3900-4f97-8674-18947123a7f8} event:/04_bass
{481d0322-28da-4d44-977a-cc140ff7c609} event:/ui/world_map/journal/page_cover_back
{48325639-2492-43e0-81de-cd7898db8b8c} event:/game/05_mirror_temple/seeker_death
{4873d018-21da-4850-8503-df248e413cb5} event:/game/09_core/switch_dies
